link,srv_nf,srv_port,nf_client_list
N2,AMF,50002,
N3,UPFU,50003,UPFC
N4,SMF,50004,UPFC
N4,UPFC,50004,SMF
N5,,50005,
N6,DN,50006,UPFU
N7,UPCF,50007,SMF
N8,UDM,50008,AMF
N9,,50009,
N10,UDM,50008,SMF
N11,AMF,50011,SMF
N11,SMF,50011,AMF
N12,AUSF,50012,AMF
N13,UDM,50008,AUSF
N14,,50014,
N15,,50015,
N16,,50016,
N17,,50017,
N18,UDSF,50018,AMF SMF UDR UPFC
N19,,50019,
N20,,50020,
N21,,50021,
N22,,50022,
N23,,50023,
